"Sexo","¿Cómo ha tenido conocimiento de esta formación?","¿Cómo ha tenido conocimiento de esta formación? [Otro]","En caso de haber recibido la información por mail, indique de qué entidad:","(siendo 1 la valoración más baja y 5 la más alta) [El proceso de INSCRIPCIÓN ha sido sencillo]","(siendo 1 la valoración más baja y 5 la más alta) [La DURACIÓN del curso ha sido suficiente]","(siendo 1 la valoración más baja y 5 la más alta) [El HORARIO DE TELETUTORÍAS me ha parecido apropiado]","(siendo 1 la valoración más baja y 5 la más alta) [El CONTENIDO se ha adaptado a mis necesidades]","(siendo 1 la valoración más baja y 5 la más alta) [La ESTRUCTURA del contenido me ha resultado clara]","(siendo 1 la valoración más baja y 5 la más alta) [Durante el curso se ha fomentado la PARTICIPACIÓN del alumnado]","(siendo 1 la valoración más baja y 5 la más alta) [Las pruebas de EVALUACIÓN Y AUTOEVALUACIÓN han reforzado la adquisición de conocimientos]","(siendo 1 la valoración más baja y 5 la más alta) [La PLATAFORMA de teleformación es sencilla de utilizar]","(siendo 1 la valoración más baja y 5 la más alta) [La VISUALIZACIÓN de los contenidos en la plataforma resulta cómoda]","(siendo 1 la valoración más baja y 5 la más alta) [Las opciones de COMUNICACIÓN (foros, correo, chat...) que ofrece la plataforma son suficientes]","(siendo 1 la valoración más baja y 5 la más alta) [El DISEÑO de la plataforma resulta agradable]","(siendo 1 la valoración más baja y 5 la más alta) [Las INCIDENCIAS TÉCNICAS se han resuelto con agilidad]","(siendo 1 la valoración más baja y 5 la más alta) [He contado con una PERSONA EXPERTA en la materia que conoce los temas tratados en profundidad]","(siendo 1 la valoración más baja y 5 la más alta) [La persona experta ha resuelto con rapidez las DUDAS Y CUESTIONES PLANTEADAS]","(siendo 1 la valoración más baja y 5 la más alta) [El curso me ha generado nuevas inquietudes sobre esta temática]","(siendo 1 la valoración más baja y 5 la más alta) [He adquirido nuevas habilidades con esta formación]","(siendo 1 la valoración más baja y 5 la más alta) [Grado de satisfacción general]","A continuación, tiene la posibilidad de comentarnos cualquier otro aspecto que no hayamos recogido en este cuestionario."
"Hombre","A través de la lista de correo","","","5","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"Hombre","A través de la lista de correo","","Servicio Andaluz de Empleo","5","1","5","5","5","4","5","5","5","5","5","3","5","3","5","5","5",""
"Hombre","A través de la lista de correo","","","5","5","4","4","4","2","3","5","5","4","5","5","3","5","3","4","4",""
"Hombre","A través de la lista de correo","","","5","5","5","5","5","3","5","4","5","5","4","5","5","5","5","5","4",""
"Hombre","A través de la lista de correo","","SEDIAN","5","4","5","1","5","1","2","4","4","1","1","1","1","1","1","1","1","El diseño de las PRÁCTICAS (por las que no se pregunta en el cuestionario anterior) ha resultado ser INFERNAL.
1º) Se necesitaba una infraestructura hardware de potencia considerable (varios PC o un PC con bastante ram > 8GB y CPU).
2º) La mayoría del tiempo (alrededor del 95%), las prácticas consistían en instalar software y parches. La práctica específica quedaba reducida pues a hacer uno o dos intentos de hacking por concepto.
3º) Se han perdido mensajes en los que expresaba yo esta inquietud, y por supuesto, no he obtenido respuesta alguna.
4º) Ha llegado un punto en que me ha sido imposible continuar con el curso por problemas técnicos irresolubles.

¿QUÉ PUEDE MEJORAR?
Bueno, en realidad bastante, pero todo con un cambio bastante simple: 

El LABORATORIO o entorno de pruebas NO PUEDE SER un entorno local, en mi propia máquina con mis propios trabajos de instalación, reconfiguración, actualización de software ajeno a la actividad en sí (aunque sean herramientas de hacking, no aprendo nada en instalarlas sino en usarlas). Debería existir un servicio externo (un Cloud Computing, por ejemplo) que permita al alumnado realizar las prácticas sin perder el tiempo en instalar herramientas en un equipo del que quizá no dispongan.

Es como si en un curso de PYTHON tuviera que emplear todo el tiempo en instalar la suite... y tener que dejarlo porque MI máquina no puede funcionar.

 "
"Hombre","A través de la lista de correo","","Sedian","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"Hombre","A través de la lista de correo","","","4","4","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","Curso sobre el esquema nacional de seguridad"
"Mujer","A través de la lista de correo","","Info Sedian <info.sedian@juntadeandalucia.es>","5","3","3","1","1","1","2","1","1","2","3","3","3","3","1","2","2","Muy complicado seguir los vídeos, prácticamente no se ven las líneas de comandos a ejecutar. Se requiere un uso avanzado de sistemas y de conocimientos de protocolos que no está avisado. Complejidad a la hora de solventar problemas. Si algo no funciona, las prácticas son muchas horas hasta conseguir arreglarlo. Los videos no están actualizado a las versiones que están disponibles, por lo que no todo es exactamente igual. Se requiere equipo con altas prestaciones y conectividad de alta calidad, para poder trabajar con las máquinas en condiciones decentes. Si no todo se demora desesperantemente. Nada de esto está avisado al hacer la inscripción. No creo que esté enfocado a mi perfil, persona responsable de la gestión de la seguridad, ya que es muy técnico, llegando incluso a perderse los conceptos generales que necesitamos entender, por ejemplo para decidir si contratar o no un servicio de este tipo y qué esperar.  Creo que es más un problema de información previa, ya que es un curso para un perfil muy técnico que requiere conocimientos elevados en muchas materias si se quiere entender bien lo que se hace en cada momento.  "
"Hombre","Otro","Mail de un compañero","","5","5","4","5","5","2","5","5","3","2","4","1","5","1","5","5","5","El foro ni lo leyó nadie ni respondió nadie..."
"Hombre","A través de la lista de correo","","SEDIAN","5","5","4","5","4","3","4","5","4","5","4","3","4","4","5","5","4",""
"Mujer","A través de la lista de correo","","SEDIAN","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"Mujer","A través de la lista de correo","","sedian","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""

